Όνομα,Περιγραφή
Μερόμ Χαρπάζ,"Επικεφαλής της Intellexa στην Ελλάδα και στενός συνεργάτης του Ταλ Ντίλιαν. Η KESTREL μίσθωσε ακίνητο στο Ελληνικό για λογαριασμό του. Σύμφωνα με πρώην υπάλληλο της Cytrox, ήταν το πρόσωπο που ανέλαβε τις επιχειρήσεις της Intellexa στην Ελλάδα, υπεύθυνος για τα μολυσμένα μηνύματα που στάλθηκαν σε στόχους παρακολούθησης, τη δημιουργία μολυσμένων συνδέσμων, και την εκπαίδευση χρηστών στη διενέργεια μολύνσεων μέσω Predator."
Ροτέμ Φάρκας,"Συνιδρυτής της Cytrox, η οποία ανέπτυξε το λογισμικό Predator, και στενός συνεργάτης του Ταλ Ντίλιαν. Κατά την εγκατάσταση της Intellexa στην Ελλάδα, η εταιρεία KESTREL του εμπόρου όπλων Σταύρου Κομνόπουλου μίσθωσε ακίνητο στο Παλαιό Φάληρο για λογαριασμό του."
Παναγιώτης Κούτσιος,"Πρώην υπάλληλος της Intellexa. Κατά την κατάθεσή του στη δίκη τον Δεκέμβριο 2025 ισχυρίστηκε ότι η Intellexa «συνεργαζόταν μόνο με κρατικές αρχές» και δήλωσε άγνοια βασικών στοιχείων για την εταιρεία και το λογισμικό που πουλούσε."
Αβραάμ Σαχάκ Άβνι,"Πρώην επικεφαλής (προκάτοχος του Τ. Ντίλιαν) της μυστικής μονάδας (Unit 81) της ισραηλινής στρατιωτικής υπηρεσίας πληροφοριών. Συνιδρυτής της Intellexa και ιδρυτής της Cytrox."
Νιρ Μπεν Μοσέ,"Πρώην επικεφαλής ειδικής μονάδας του υπουργείου Άμυνας του Ισραήλ. Συνεργάτης της Intellexa. Συμμετείχε στη σύνταξη μνημόνιου συνεργασίας μεταξύ ΕΥΠ και της υπηρεσίας πληροφοριών της Βόρειας Μακεδονίας."
Thalestris Limited,"Μητρική εταιρία της Intellexa με έδρα το Δουβλίνο. Κατά το 2020-21 κατέχει το 65% της Intellexa ΑΕ."
Santinomo Ltd,"Εταιρία με έδρα την Κύπρο. Από τον Μάιο 2020 κατέχει το 35% της Intellexa ΑΕ. Διευθυντής της είναι ο Φέλιξ Μπίτζιος. Το σύνολο των μετοχών της φέρεται να μεταβιβάστηκε τον Δεκέμβριο 2020 στη Thalestris Limited και τη θέση του Φ. Μπίτζιου να πήρε ο Αντρέα Γκαμπάτσι."
Σταύρος Κομνόπουλος,"Έμπορος όπλων και ιδιοκτήτης της KESTREL ΑΕΒΕ, ο οποίος βοήθησε την Intellexa κατά την εγκατάστασή της στην Ελλάδα. Τον Σεπτέμβριο 2020 η KESTREL μίσθωσε ακίνητα για τους υπαλλήλους της Intellexa Ροτέμ Φάρκας και Μερόμ Χαρπάζ."
Φέλιξ Μπίτζιος,"Πρώην διευθύνων σύμβουλος της θυγατρικής του αμερικανικού ομίλου Libra στην Ελλάδα, συμφερόντων της εφοπλιστικής οικογένειας Λογοθέτη. Αναπληρωτής διαχειριστής της Intellexa ΑΕ μεταξύ 31/3/2020-23/6/2021. Ιδρυτής της Santinomo Ltd στην Κύπρο, η οποία κατείχε το 35% της Intellexa ΑΕ από το Μάιο 2020. Σύμβουλος της Krikel το 2018."
Γιάννης Λαβράνος,"Έλληνας επιχειρηματίας και κουμπάρος των Γρηγόρη Δημητριάδη και Νίκου Παναγιωτόπουλου (Υπουργός Άμυνας της κυβέρνησης Μητσοτάκη). Το 2007 ιδρύει την εταιρία ΕΛΕΚΤΡΟΥΜ ΤΕΚΝΟΛΟΤΖΙΣ, μετέπειτα ΙΟΝΙΚΗ ΤΕΧΝΟΛΟΓΙΚΗ. Το 2014 η ΙΟΝΙΚΗ, που ελέγχεται για φορολογικές παραβάσεις, γίνεται μία από τις τρεις εταιρίες που δωρίζουν στο υπουργείο Προστασίας του Πολίτη το σύστημα κρυπτογραφημένων συνομιλιών TETRA, δωρεά που επικυρώνεται το 2017. Από τον Οκτώβριο 2017, φέρεται να διευθύνει την KRIKEL, παρότι δεν εμφανίζεται επίσημα στη διαχείρισή της."
Krikel,"Εταιρία που έχει υπογράψει έξι συμβάσεις με το ελληνικό Δημόσιο, αξίας 11.295.000 ευρώ. Εμβάσματα τη συνδέουν με την Intellexa και εικονικά τιμολόγια τη συνδέουν με τεχνολογικό εξοπλισμό που χρησιμοποιήθηκε από την ΕΥΠ."
Σταμάτης Τριμπάλης,"Διευθυντής της Krikel. Σε υπομνήματα που υπέβαλε στις φορολογικές αρχές το 2024, δήλωσε ότι δεν είχε ποτέ ενεργό ρόλο στη διαχείριση, αποδίδοντας την πραγματική διοίκηση αποκλειστικά στον Γ. Λαβράνο. Κατονόμασε τον Σωτήρη Ντάλα και την Ελένη Μηλιά ως συνεργάτες του Γ. Λαβράνου στην Krikel."
Νίκος Λιόλιος,"Περιγράφεται ως ο στενότερος συνεργάτης και διαχειριστής των εταιριών του Γιάννη Λαβράνου."
Σωτήρης Ντάλας,"Τεχνικός διευθυντής και στέλεχος της Krikel, συνεργάτης του Γ. Λαβράνου. Διατηρούσε γραφείο στο κτίριο της Krikel στο Μαρούσι και ήταν παρών σε εκπαιδευτικές συνεδρίες της Intellexa εκεί. Κατά την κατάθεσή του στο δικαστήριο τον Ιανουάριο 2026, παραδέχθηκε ότι έστειλε στον Σ. Τριμπάλη τις ερωτήσεις που θα έθεταν βουλευτές της ΝΔ στην Κοινοβουλευτική Επιτροπή."
Ελέκτρουμ Τεκνόλοτζις / Ιονική Τεχνολογική,"Εταιρεία που ιδρύθηκε το 2007 από τον Γ. Λαβράνο, μετονομάστηκε αργότερα σε Ιονική Τεχνολογική. Το 2013 ο Λαβράνος αντικαταστάθηκε ως πρόεδρος από Ιταλό του οποίου η ταυτότητα είχε κλαπεί. Μεταξύ 2013-2015 η εταιρεία υπέγραψε συμβάσεις με την Τράπεζα Πειραιώς ύψους €8,7 εκατ. βάσει τιμολογίων που χαρακτηρίστηκαν ως εικονικά. Το 2014 η Ιονική δώρισε το σύστημα κρυπτογραφημένων επικοινωνιών TETRA στο Υπουργείο Προστασίας του Πολίτη. Προσωρινή έκθεση ελέγχου που παραδόθηκε τον Δεκέμβριο 2023 εντόπισε εικονικά τιμολόγια αξίας άνω των €52 εκατ. που εκδόθηκαν μεταξύ 2013 και 2015."
Γιάννης Καραγιάννης,"Συνεργάτης του Γ. Λαβράνου. Εμφανίστηκε ως «Gianni Pedrini» σε πλαστή ιταλική ταυτότητα, μέρος του μοτίβου κλεμμένων ή πλαστών ιταλικών ταυτοτήτων που χρησιμοποιήθηκαν στο εταιρικό δίκτυο γύρω από τον Λαβράνο."
Ελένη Μηλιά,"Λογίστρια της Krikel, κατονομάστηκε από τον Σ. Τριμπάλη ως συνεργάτιδα του Γ. Λαβράνου και πρόσωπο με ειδική γνώση των δραστηριοτήτων της εταιρείας."
Νίκος Παναγιωτόπουλος,"Υπουργός Άμυνας στην κυβέρνηση Μητσοτάκη και κουμπάρος του Γ. Λαβράνου. Ο Γ. Λαβράνος φέρεται να του είπε «να τους αλλάξεις όλους» σχετικά με στρατιωτικά στελέχη. Ο Γ. Λαβράνος φέρεται να ταξίδεψε στο Ισραήλ συνοδεύοντας τον Ν. Παναγιωτόπουλο με πλαστό όνομα, για συναντήσεις με τον Υπουργό Άμυνας του Ισραήλ σχετικά με εξοπλισμούς."
Ευαγγελία (Λίνα) Κατσούδα,"Στενή συνεργάτιδα του Φέλιξ Μπίτζιου επί μία δεκαετία, εγγεγραμμένη ως υπάλληλος της Krikel το 2021. Τον Ιανουάριο 2023 εισαγγελείς διέταξαν έρευνα στο σπίτι της. Στη δίκη τον Ιανουάριο 2026 κατέθεσε ότι ο Γ. Λαβράνος της ζήτησε να επικοινωνήσει με το Υπουργείο Εξωτερικών για άδειες εξαγωγής, ότι κανόνισε την πρόσληψή της μέσω του Λαβράνου ο οποίος «μου έδωσε την εντύπωση ότι τη διευθύνει», ότι αστυνομικοί επισκέπτονταν την Krikel, και ότι κάποιοι επισκέπτες που ερχόντουσαν ως εκπαιδευτές Predator «μπορεί να ήταν Ισραηλινοί». Κατέθεσε επίσης ότι στα γραφεία της Krikel ακουγόταν επανειλημμένα η φράση «όσο η ΝΔ είναι στην εξουσία, δεν έχουμε τίποτα να φοβηθούμε»."
Eneross Holdings Limited,"Κυπριακή εταιρεία στην οποία μεταβιβάστηκαν όλες οι μετοχές της Krikel τον Οκτώβριο 2017. Σύμφωνα με τον Σ. Τριμπάλη, η πραγματική της έδρα ήταν στο Μαρούσι στην ίδια διεύθυνση με την Krikel. Διαγράφηκε από τον Έφορο Εταιρειών Κύπρου στις 2 Σεπτεμβρίου 2022."
Βασιλική Βλάχου,"Εισαγγελέας της ΕΥΠ μεταξύ 12/5/2020-6/1/2024. Είχε στοχοποιηθεί μέσω Predator."
Αχιλλέας Ζήσης,"Αντεισαγγελέας του Αρείου Πάγου, ανέλαβε την έρευνα για το Predator μετά τη μεταφορά της στον Άρειο Πάγο. Κατά την έρευνά του αποφεύγει να ελέγξει το κοινό κέντρο υποκλοπών ΕΥΠ - Predator, δεν καλεί σε κατάθεση κομβικά πρόσωπα, όπως στοχοποιημένα άτομα ή ο ιδιοκτήτης της κάρτας που πλήρωσε για τα SMS του Predator. Συντάσσει το πόρισμα που στρέφει την ποινική ευθύνη σε τέσσερα μόνο άτομα για πλημμεληματική δίωξη."
Γεωργία Αδειλίνη,"Εισαγγελέας του Αρείου Πάγου από 1/7/2023. Μετέφερε την έρευνα για το Predator από τους εισαγγελείς Πρωτοδικών στον αντιεισαγγελέα του Αρείου Πάγου. Αρχειοθέτησε το σκέλος της υπόθεσης που αφορούσε την εμπλοκή της ΕΥΠ και της κυβέρνησης με τις παράνομες παρακολουθήσεις και απήγγειλε πλημμεληματικές κατηγορίες κατά τεσσάρων φυσικών προσώπων που σχετίζονται με την Intellexa."
Άγγελος Μπίνης,"Στενός φίλος και κουμπάρος του Κ. Μητσοτάκη. Διορίστηκε επικεφαλής της Εθνικής Αρχής Διαφάνειας (ΕΑΔ) τον Αύγουστο 2019. Ο διορισμός του επικυρώθηκε από την Κοινοβουλευτική Επιτροπή Θεσμών και Διαφάνειας μόνο με τις ψήφους της Νέας Δημοκρατίας."
Ισίδωρος Ντογιάκος,"Εισαγγελέας του Αρείου Πάγου μεταξύ 4/7/2022-30/6/2023."
